Tour_ID,High Cost,Higher Cost,Highest Cost,Low Cost,Lower Cost,Normal Cost
tour_idynufedne,0.23,0.56,0.04,0.12,0.005,0.12
tour_id9r3y5moe,,,,,,
tour_idf6itml6g,,,,,,
tour_id99u4znru,,,,,,
tour_idj4i9urbx,,,,,,
tour_ids94pi2qs,,,,,,
tour_id9xx2dq4e,,,,,,
tour_id9q7cbwf5,,,,,,
tour_id28uzu8li,,,,,,
tour_idf7lvpips,,,,,,
tour_id69abaq9f,,,,,,
tour_id20ne7vgg,,,,,,
tour_ida99j69n7,,,,,,
tour_idzwulen6z,,,,,,
tour_id82x4wwmo,,,,,,
tour_idlhvaq2mf,,,,,,
tour_id8t7kqb9n,,,,,,
tour_idrn7vpcu5,,,,,,
tour_idqk4wakw3,,,,,,
tour_id6fa1ag4g,,,,,,
tour_id8yxycz3h,,,,,,
tour_idq3khwer6,,,,,,
tour_idhgharflp,,,,,,
tour_idqjzzhcvz,,,,,,
tour_id0l0xaktp,,,,,,
tour_idbg22qq89,,,,,,
tour_idwkhfwtqp,,,,,,
tour_id34dyvoyk,,,,,,
tour_id5cfn85zh,,,,,,
tour_id84rchmqs,,,,,,
tour_idjh4cjj2x,,,,,,
tour_idzy1dc1xm,,,,,,
tour_id80j7qu6z,,,,,,
tour_iddtkykn6k,,,,,,
tour_idg04qytor,,,,,,
tour_idv9sccb8o,,,,,,
tour_idfstvxwpt,,,,,,
tour_idw8zh4idj,,,,,,
tour_idri1bxxwf,,,,,,
tour_id9jns3l59,,,,,,
tour_idykz7qmpj,,,,,,
tour_idff7h0lmy,,,,,,
tour_idjhminmzn,,,,,,
tour_idiihytata,,,,,,
tour_idp48ka6jb,,,,,,
tour_idthc6m7sk,,,,,,
tour_idikm37slu,,,,,,
tour_idvay0ce8g,,,,,,
tour_idljettp5j,,,,,,
tour_id6b75m18g,,,,,,
tour_idh1qz4kip,,,,,,
tour_idct1mds8n,,,,,,
tour_idmdkapl5e,,,,,,
tour_idtxl27kyw,,,,,,
tour_id3f5s1s8k,,,,,,
tour_idmy8ugm33,,,,,,
tour_id15xhujqe,,,,,,
tour_idnvjzjzis,,,,,,
tour_idicgj22ml,,,,,,
tour_ideq6kef16,,,,,,
tour_idm3ru5o69,,,,,,
tour_idtjnibi1v,,,,,,
tour_id9mqg4jpi,,,,,,
tour_id6qtlrlj0,,,,,,
tour_id7quxawwm,,,,,,
tour_id37beg9uz,,,,,,
tour_idmul4fjnn,,,,,,
tour_idotkse0oz,,,,,,
tour_idctl4gkkk,,,,,,
tour_idkzhlxsk5,,,,,,
tour_idt8nbpyzu,,,,,,
tour_idlvf31ik8,,,,,,
tour_idbgqv7ifs,,,,,,
tour_id0prergei,,,,,,
tour_idj7tc65fn,,,,,,
tour_idm1x1vxbw,,,,,,
tour_id21v0cxt1,,,,,,
tour_id1mcdpog2,,,,,,
tour_idhqzs2gq8,,,,,,
tour_idbjvcvpse,,,,,,
tour_idqmtjec5c,,,,,,
tour_idjylqwsbx,,,,,,
tour_id59lpui19,,,,,,
tour_idfcuq5wgy,,,,,,
tour_id7pyzqpkw,,,,,,
tour_ideb9lf8br,,,,,,
tour_idzogf5dwk,,,,,,
tour_id41mnpgqc,,,,,,
tour_idmwyzw189,,,,,,
tour_idtjumeoc1,,,,,,
tour_idtncu3vvj,,,,,,
tour_idzcavo88u,,,,,,
tour_idkot0odg6,,,,,,
tour_id8z19zqq4,,,,,,
tour_idm10lb8m7,,,,,,
tour_idr3vd82x6,,,,,,
tour_iduzdp7vc3,,,,,,
tour_id095wm8uu,,,,,,
tour_idfr76spf4,,,,,,
tour_idjs9dcswi,,,,,,
tour_idz34rclqa,,,,,,
tour_id68ja64qt,,,,,,
tour_idxac2uuqv,,,,,,
tour_idf8oqfnlm,,,,,,
tour_idvunzjwfc,,,,,,
tour_idw21ciy88,,,,,,
tour_idh9xqxr96,,,,,,
tour_idxverh9fy,,,,,,
tour_idokj8jc82,,,,,,
tour_id7nzgco3n,,,,,,
tour_idssevzcvv,,,,,,
tour_idpl6n18rb,,,,,,
tour_id00ickkxa,,,,,,
tour_idtc8elj66,,,,,,
tour_id9jslxdlc,,,,,,
tour_id7l1tqq3l,,,,,,
tour_idarhine53,,,,,,
tour_id1ssjmgtf,,,,,,
tour_idcjzpvsbd,,,,,,
tour_idp53f6fg8,,,,,,
tour_idrgw9c70j,,,,,,
tour_idlx2jlzs3,,,,,,
tour_idjateimuw,,,,,,
tour_idof6v2a2t,,,,,,
tour_idbphqzwq0,,,,,,
tour_idnju0d13b,,,,,,
tour_idbtqabgv8,,,,,,
tour_idkzy90idc,,,,,,
tour_idybhcrip4,,,,,,
tour_idgo26zwiw,,,,,,
tour_id6yuxzmbk,,,,,,
tour_idxl466y8a,,,,,,
tour_idx73vs98v,,,,,,
tour_id3r9btjk4,,,,,,
tour_idhgq4urqb,,,,,,
tour_idurejxr5g,,,,,,
tour_id8hmm45yg,,,,,,
tour_id18jsnowr,,,,,,
tour_idgs3jbjvb,,,,,,
tour_idikwsynra,,,,,,
tour_idxexxrypa,,,,,,
tour_id4vle4re3,,,,,,
tour_id4ktjhmd1,,,,,,
tour_id51l3gvnj,,,,,,
tour_id8pp1z0qj,,,,,,
tour_id60ehhnp2,,,,,,
tour_idpxt0agk9,,,,,,
tour_id8zqbxmj5,,,,,,
tour_idp5ukjn9m,,,,,,
tour_idu7oecbie,,,,,,
tour_id1dr9cikr,,,,,,
tour_id0r3qxbif,,,,,,
tour_idnox2sywq,,,,,,
tour_idy1jgkshd,,,,,,
tour_idgww40skh,,,,,,
tour_ida8jpbqln,,,,,,
tour_idhyrqzusv,,,,,,
tour_idhad98cqz,,,,,,
tour_idmwm72g00,,,,,,
tour_idvwseyhh5,,,,,,
tour_idgcf1yvij,,,,,,
tour_id3rxtrcif,,,,,,
tour_idy8ljrftg,,,,,,
tour_idnp3tf107,,,,,,
